API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Sun May 14 05:40:44 2023 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Moon (301)                      {source: DE441}
Center body name: Earth (399)                     {source: DE441}
Center-site name: (user defined site below)
*******************************************************************************
Start time      : A.D. 2022-Dec-31 00:00:00.0000 UT      
Stop  time      : A.D. 2023-Dec-31 00:00:00.0000 UT      
Step-size       : 60 minutes
*******************************************************************************
Target pole/equ : MOON_ME                         {East-longitude positive}
Target radii    : 1737.4, 1737.4, 1737.4 km       {Equator_a, b, pole_c}       
Center geodetic : 139.484444,35.300556,1.22238E-12 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 139.484444,5211.22956,3665.13099 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : ITRF93                          {East-longitude positive}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}       
Target primary  : Earth
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE441}
Rel. light bend : Sun                             {source: DE441}
Rel. lght bnd GM: 1.3271E+11 km^3/s^2                                          
Atmos refraction: NO (AIRLESS)
RA format       : HMS
Time format     : CAL 
Calendar mode   : Mixed Julian/Gregorian
EOP file        : eop.230511.p230804                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2023-MAY-11. PREDICTS-> 2023-AUG-03
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
Table format    : Comma Separated Values (spreadsheet)
********************************************************************************
 Date__(UT)__HR:MN, , ,Azi_(a-app), Elev_(a-app),       phi,  PAB-LON,  PAB-LAT,
********************************************************************************
$$SOE
 2023-Mar-29 01:00,*, ,  51.673381,    -4.606050,   89.8595, 142.7492,   2.8859,
 2023-Mar-29 02:00,*,m,  59.937150,     5.162596,   89.3362, 143.0560,   2.9486,
 2023-Mar-29 03:00,*,m,  67.284199,    15.768245,   88.8598, 143.3394,   3.0138,
 2023-Mar-29 04:00,*,m,  74.092520,    26.971550,   88.4319, 143.5986,   3.0772,
 2023-Mar-29 05:00,*,m,  80.798287,    38.589746,   88.0507, 143.8342,   3.1348,
 2023-Mar-29 06:00,*,m,  88.061238,    50.464587,   87.7113, 144.0484,   3.1827,
 2023-Mar-29 07:00,*,m,  97.351720,    62.406770,   87.4060, 144.2448,   3.2179,
 2023-Mar-29 08:00,*,m, 113.928983,    73.966358,   87.1247, 144.4283,   3.2379,
 2023-Mar-29 09:00,*,m, 167.767728,    82.167363,   86.8556, 144.6047,   3.2414,
 2023-Mar-29 10:00,A,m, 238.339930,    76.636841,   86.5861, 144.7804,   3.2285,
 2023-Mar-29 11:00, ,m, 259.322802,    65.370605,   86.3036, 144.9617,   3.1999,
 2023-Mar-29 12:00, ,m, 269.627134,    53.440372,   85.9963, 145.1546,   3.1581,
 2023-Mar-29 13:00, ,m, 277.192642,    41.499982,   85.6546, 145.3642,   3.1059,
 2023-Mar-29 14:00, ,m, 283.948761,    29.765591,   85.2711, 145.5944,   3.0473,
 2023-Mar-29 15:00, ,m, 290.672397,    18.394852,   84.8413, 145.8478,   2.9864,
 2023-Mar-29 16:00, ,m, 297.834829,     7.559866,   84.3638, 146.1251,   2.9274,
 2023-Mar-29 17:00, , , 305.826273,    -2.517971,   83.8406, 146.4258,   2.8743,
 2023-Mar-29 18:00, , , 315.019437,   -11.537705,   83.2762, 146.7477,   2.8305,
 2023-Mar-29 19:00, , , 325.742501,   -19.093860,   82.6777, 147.0873,   2.7987,
 2023-Mar-29 20:00,N, , 338.146109,   -24.680069,   82.0544, 147.4401,   2.7809,
 2023-Mar-29 21:00,*, , 351.976833,   -27.767674,   81.4169, 147.8009,   2.7778,
 2023-Mar-29 22:00,*, ,   6.439734,   -27.984422,   80.7765, 148.1640,   2.7893,
 2023-Mar-29 23:00,*, ,  20.439651,   -25.300348,   80.1448, 148.5236,   2.8145,
 2023-Mar-30 00:00,*, ,  33.110836,   -20.044684,   79.5328, 148.8740,   2.8514,
 2023-Mar-30 01:00,*, ,  44.123133,   -12.735274,   78.9504, 149.2103,   2.8975,
 2023-Mar-30 02:00,*, ,  53.586109,    -3.889178,   78.4057, 149.5281,   2.9494,
 2023-Mar-30 03:00,*,m,  61.819789,     6.071059,   77.9047, 149.8243,   3.0038,
 2023-Mar-30 04:00,*,m,  69.206569,    16.828758,   77.4506, 150.0971,   3.0567,
 2023-Mar-30 05:00,*,m,  76.155060,    28.149649,   77.0437, 150.3459,   3.1045,
 2023-Mar-30 06:00,*,m,  83.161483,    39.850101,   76.6812, 150.5720,   3.1438,
 2023-Mar-30 07:00,*,m,  91.032870,    51.758559,   76.3574, 150.7779,   3.1716,
 2023-Mar-30 08:00,*,m, 101.686044,    63.634347,   76.0637, 150.9678,   3.1858,
 2023-Mar-30 09:00,*,m, 122.168836,    74.787891,   75.7897, 151.1467,   3.1851,
 2023-Mar-30 10:00,A,m, 182.041624,    80.957875,   75.5234, 151.3208,   3.1694,
 2023-Mar-30 11:00, ,m, 238.873445,    74.186875,   75.2523, 151.4962,   3.1395,
 2023-Mar-30 12:00, ,m, 258.313747,    62.912940,   74.9643, 151.6793,   3.0973,
 2023-Mar-30 13:00, ,m, 268.682588,    50.968609,   74.6485, 151.8757,   3.0456,
 2023-Mar-30 14:00, ,m, 276.436768,    38.985759,   74.2959, 152.0901,   2.9879,
 2023-Mar-30 15:00, ,m, 283.380725,    27.193707,   73.9004, 152.3260,   2.9278,
 2023-Mar-30 16:00, ,m, 290.294176,    15.759523,   73.4586, 152.5853,   2.8693,
 2023-Mar-30 17:00, ,m, 297.671012,     4.864427,   72.9702, 152.8683,   2.8161,
 2023-Mar-30 18:00, , , 305.931954,    -5.257327,   72.4380, 153.1738,   2.7713,
 2023-Mar-30 19:00, , , 315.486091,   -14.283846,   71.8674, 153.4994,   2.7375,
 2023-Mar-30 20:00,N, , 326.694225,   -21.776806,   71.2662, 153.8411,   2.7164,
 2023-Mar-30 21:00,*, , 339.706132,   -27.187161,   70.6439, 154.1944,   2.7089,
 2023-Mar-30 22:00,*, , 354.190479,   -29.952152,   70.0112, 154.5538,   2.7148,
 2023-Mar-30 23:00,*, ,   9.202446,   -29.707579,   69.3794, 154.9136,   2.7333,
 2023-Mar-31 00:00,*, ,  23.530714,   -26.486121,   68.7597, 155.2682,   2.7626,
 2023-Mar-31 01:00,*, ,  36.319005,   -20.697385,   68.1624, 155.6122,   2.8003,
 2023-Mar-31 02:00,*, ,  47.332277,   -12.912883,   67.5968, 155.9409,   2.8435,
 2023-Mar-31 03:00,*, ,  56.777892,    -3.668216,   67.0701, 156.2503,   2.8889,
 2023-Mar-31 04:00,*,m,  65.045816,     6.615684,   66.5872, 156.5378,   2.9332,
 2023-Mar-31 05:00,*,m,  72.572208,    17.628965,   66.1504, 156.8019,   2.9728,
 2023-Mar-31 06:00,*,m,  79.829543,    29.140222,   65.7590, 157.0427,   3.0047,
 2023-Mar-31 07:00,*,m,  87.430139,    40.956942,   65.4091, 157.2619,   3.0262,
 2023-Mar-31 08:00,*,m,  96.450264,    52.870246,   65.0944, 157.4624,   3.0353,
 2023-Mar-31 09:00,*,m, 109.558551,    64.511960,   64.8059, 157.6486,   3.0308,
 2023-Mar-31 10:00,A,m, 135.877713,    74.670550,   64.5327, 157.8260,   3.0125,
 2023-Mar-31 11:00, ,m, 193.912728,    77.994859,   64.2630, 158.0006,   2.9811,
 2023-Mar-31 12:00, ,m, 237.433599,    70.506172,   63.9847, 158.1786,   2.9384,
 2023-Mar-31 13:00, ,m, 255.860893,    59.351149,   63.6862, 158.3660,   2.8868,
 2023-Mar-31 14:00, ,m, 266.576978,    47.429473,   63.3575, 158.5682,   2.8296,
 2023-Mar-31 15:00, ,m, 274.718411,    35.399448,   62.9907, 158.7894,   2.7701,
 2023-Mar-31 16:00, ,m, 281.996844,    23.522285,   62.5805, 159.0325,   2.7120,
 2023-Mar-31 17:00, ,m, 289.220329,    11.983336,   62.1247, 159.2990,   2.6587,
 2023-Mar-31 18:00, ,m, 296.927875,     0.978597,   61.6239, 159.5886,   2.6132,
 2023-Mar-31 19:00, , , 305.595139,    -9.238456,   61.0817, 159.8998,   2.5778,
 2023-Mar-31 20:00,N, , 315.697305,   -18.314079,   60.5042, 160.2297,   2.5543,
 2023-Mar-31 21:00,*, , 327.658302,   -25.757546,   59.8994, 160.5742,   2.5432,
 2023-Mar-31 22:00,*, , 341.633799,   -30.948833,   59.2770, 160.9284,   2.5447,
 2023-Mar-31 23:00,*, , 357.157514,   -33.268006,   58.6478, 161.2871,   2.5578,
 2023-Apr-01 00:00,*, ,  13.024133,   -32.367523,   58.0228, 161.6446,   2.5808,
 2023-Apr-01 01:00,*, ,  27.840778,   -28.386404,   57.4125, 161.9954,   2.6117,
 2023-Apr-01 02:00,*, ,  40.791483,   -21.859402,   56.8268, 162.3344,   2.6476,
 2023-Apr-01 03:00,*, ,  51.803340,   -13.432997,   56.2742, 162.6572,   2.6855,
 2023-Apr-01 04:00,*, ,  61.231330,    -3.664199,   55.7608, 162.9602,   2.7223,
 2023-Apr-01 05:00,*,m,  69.564433,     7.030774,   55.2909, 163.2412,   2.7548,
 2023-Apr-01 06:00,*,m,  77.314690,    18.350500,   54.8656, 163.4992,   2.7801,
 2023-Apr-01 07:00,*,m,  85.048026,    30.062349,   54.4833, 163.7347,   2.7959,
 2023-Apr-01 08:00,*,m,  93.548097,    41.949188,   54.1398, 163.9497,   2.8002,
 2023-Apr-01 09:00,*,m, 104.271953,    53.721061,   53.8278, 164.1477,   2.7919,
 2023-Apr-01 10:00,A,m, 120.775329,    64.758258,   53.5383, 164.3331,   2.7709,
 2023-Apr-01 11:00, ,m, 152.467323,    73.074588,   53.2603, 164.5116,   2.7377,
 2023-Apr-01 12:00, ,m, 202.074769,    73.507361,   52.9822, 164.6891,   2.6941,
 2023-Apr-01 13:00, ,m, 235.719834,    65.596826,   52.6925, 164.8718,   2.6423,
 2023-Apr-01 14:00, ,m, 253.015855,    54.605998,   52.3801, 165.0654,   2.5851,
 2023-Apr-01 15:00, ,m, 263.985955,    42.745651,   52.0360, 165.2749,   2.5259,
 2023-Apr-01 16:00, ,m, 272.513068,    30.687368,   51.6532, 165.5040,   2.4681,
 2023-Apr-01 17:00, ,m, 280.157234,    18.727110,   51.2273, 165.7551,   2.4147,
 2023-Apr-01 18:00, ,m, 287.739777,     7.072867,   50.7569, 166.0293,   2.3687,
 2023-Apr-01 19:00, , , 295.850428,    -4.060231,   50.2434, 166.3260,   2.3322,
 2023-Apr-01 20:00,N, , 305.039605,   -14.392867,   49.6909, 166.6432,   2.3067,
 2023-Apr-01 21:00,*, , 315.882139,   -23.526192,   49.1060, 166.9778,   2.2930,
 2023-Apr-01 22:00,*, , 328.901750,   -30.891613,   48.4970, 167.3255,   2.2909,
 2023-Apr-01 23:00,*, , 344.253901,   -35.761915,   47.8735, 167.6815,   2.2997,
 2023-Apr-02 00:00,*, ,   1.222749,   -37.439586,   47.2460, 168.0404,   2.3177,
 2023-Apr-02 01:00,*, ,  18.175055,   -35.628855,   46.6252, 168.3967,   2.3429,
 2023-Apr-02 02:00,*, ,  33.502318,   -30.648070,   46.0212, 168.7452,   2.3726,
 2023-Apr-02 03:00,*, ,  46.534312,   -23.203551,   45.4432, 169.0810,   2.4041,
 2023-Apr-02 04:00,*, ,  57.459939,   -14.021071,   44.8988, 169.3999,   2.4344,
 2023-Apr-02 05:00,*, ,  66.826010,    -3.667026,   44.3935, 169.6988,   2.4606,
 2023-Apr-02 06:00,*,m,  75.235317,     7.456861,   43.9307, 169.9758,   2.4800,
 2023-Apr-02 07:00,*,m,  83.286805,    19.059395,   43.5108, 170.2303,   2.4903,
 2023-Apr-02 08:00,*,m,  91.660788,    30.897734,   43.1317, 170.4631,   2.4899,
 2023-Apr-02 09:00,*,m, 101.350491,    42.703178,   42.7884, 170.6767,   2.4777,
 2023-Apr-02 10:00,A,m, 114.221893,    54.039934,   42.4736, 170.8745,   2.4537,
 2023-Apr-02 11:00, ,m, 134.324780,    63.906269,   42.1781, 171.0614,   2.4184,
 2023-Apr-02 12:00, ,m, 167.959794,    69.692918,   41.8911, 171.2430,   2.3734,
 2023-Apr-02 13:00, ,m, 207.599819,    67.783178,   41.6014, 171.4252,   2.3208,
 2023-Apr-02 14:00, ,m, 234.389822,    59.588949,   41.2978, 171.6140,   2.2633,
 2023-Apr-02 15:00, ,m, 250.385987,    48.759557,   40.9701, 171.8147,   2.2041,
 2023-Apr-02 16:00, ,m, 261.368879,    36.991494,   40.6099, 172.0321,   2.1462,
 2023-Apr-02 17:00, ,m, 270.159901,    24.936309,   40.2109, 172.2694,   2.0928,
 2023-Apr-02 18:00, ,m, 278.115798,    12.914901,   39.7695, 172.5288,   2.0464,
 2023-Apr-02 19:00, ,m, 286.045487,     1.156634,   39.2849, 172.8108,   2.0091,
 2023-Apr-02 20:00,N, , 294.589135,   -10.102500,   38.7591, 173.1146,   1.9823,
 2023-Apr-02 21:00,*, , 304.394188,   -20.551515,   38.1966, 173.4379,   1.9667,
 2023-Apr-02 22:00,*, , 316.181843,   -29.730783,   37.6040, 173.7775,   1.9620,
 2023-Apr-02 23:00,*, , 330.629143,   -36.959512,   36.9898, 174.1290,   1.9674,
 2023-Apr-03 00:00,*, , 347.862256,   -41.354448,   36.3637, 174.4875,   1.9815,
 2023-Apr-03 01:00,*, ,   6.693047,   -42.128734,   35.7357, 174.8478,   2.0020,
 2023-Apr-03 02:00,*, ,  24.826221,   -39.119451,   35.1162, 175.2044,   2.0267,
 2023-Apr-03 03:00,*, ,  40.505742,   -32.926802,   34.5148, 175.5523,   2.0527,
 2023-Apr-03 04:00,*, ,  53.415879,   -24.456163,   33.9401, 175.8869,   2.0773,
 2023-Apr-03 05:00,*, ,  64.114148,   -14.488084,   33.3990, 176.2041,   2.0978,
 2023-Apr-03 06:00,*, ,  73.355292,    -3.572061,   32.8966, 176.5013,   2.1116,
 2023-Apr-03 07:00,*,m,  81.847989,     7.916851,   32.4353, 176.7767,   2.1167,
 2023-Apr-03 08:00,*,m,  90.274235,    19.696014,   32.0153, 177.0301,   2.1116,
 2023-Apr-03 09:00,*,m,  99.432163,    31.496577,   31.6339, 177.2626,   2.0954,
 2023-Apr-03 10:00,N,m, 110.514112,    42.962345,   31.2860, 177.4767,   2.0680,
 2023-Apr-03 11:00, ,m, 125.632404,    53.448365,   30.9643, 177.6762,   2.0301,
 2023-Apr-03 12:00, ,m, 148.311173,    61.560752,   30.6594, 177.8662,   1.9831,
 2023-Apr-03 13:00, ,m, 180.103430,    64.696815,   30.3610, 178.0520,   1.9292,
 2023-Apr-03 14:00, ,m, 211.445866,    61.114567,   30.0582, 178.2397,   1.8709,
 2023-Apr-03 15:00, ,m, 233.469758,    52.717392,   29.7402, 178.4349,   1.8112,
 2023-Apr-03 16:00, ,m, 248.145195,    42.033690,   29.3973, 178.6429,   1.7531,
 2023-Apr-03 17:00, ,m, 258.918786,    30.380065,   29.0216, 178.8681,   1.6996,
 2023-Apr-03 18:00, ,m, 267.816095,    18.362088,   28.6075, 179.1135,   1.6530,
 2023-Apr-03 19:00,A,m, 275.984884,     6.310613,   28.1518, 179.3808,   1.6153,
 2023-Apr-03 20:00,N, , 284.206675,    -5.529533,   27.6540, 179.6705,   1.5877,
 2023-Apr-03 21:00,*, , 293.176191,   -16.903146,   27.1166, 179.9813,   1.5708,
 2023-Apr-03 22:00,*, , 303.671282,   -27.463703,   26.5443, 180.3109,   1.5644,
 2023-Apr-03 23:00,*, , 316.634807,   -36.672698,   25.9438, 180.6559,   1.5675,
 2023-Apr-04 00:00,*, , 332.987624,   -43.688985,   25.3236, 181.0119,   1.5785,
 2023-Apr-04 01:00,*, , 352.746873,   -47.404557,   24.6933, 181.3740,   1.5955,
 2023-Apr-04 02:00,*, ,  13.822184,   -46.956803,   24.0627, 181.7370,   1.6161,
 2023-Apr-04 03:00,*, ,  32.996912,   -42.471035,   23.4417, 182.0956,   1.6376,
 2023-Apr-04 04:00,*, ,  48.668353,   -34.939653,   22.8396, 182.4447,   1.6573,
 2023-Apr-04 05:00,*, ,  61.170686,   -25.443346,   22.2643, 182.7800,   1.6727,
 2023-Apr-04 06:00,*, ,  71.486884,   -14.760928,   21.7225, 183.0977,   1.6814,
 2023-Apr-04 07:00,*, ,  80.547308,    -3.393031,   21.2183, 183.3952,   1.6816,
 2023-Apr-04 08:00,*,m,  89.134085,     8.319942,   20.7542, 183.6710,   1.6718,
 2023-Apr-04 09:00,*,m,  97.991596,    20.096412,   20.3296, 183.9251,   1.6513,
 2023-Apr-04 10:00,N,m, 108.009599,    31.621513,   19.9420, 184.1587,   1.6202,
 2023-Apr-04 11:00, ,m, 120.486540,    42.420718,   19.5860, 184.3747,   1.5791,
 2023-Apr-04 12:00, ,m, 137.404671,    51.629152,   19.2546, 184.5769,   1.5296,
 2023-Apr-04 13:00, ,m, 160.798955,    57.662621,   18.9385, 184.7704,   1.4738,
 2023-Apr-04 14:00, ,m, 188.838599,    58.524563,   18.6278, 184.9608,   1.4141,
 2023-Apr-04 15:00, ,m, 214.118252,    53.814799,   18.3117, 185.1539,   1.3536,
 2023-Apr-04 16:00, ,m, 232.757860,    45.287146,   17.9799, 185.3553,   1.2950,
 2023-Apr-04 17:00, ,m, 246.207634,    34.744424,   17.6231, 185.5702,   1.2412,
 2023-Apr-04 18:00, ,m, 256.625476,    23.226014,   17.2337, 185.8026,   1.1945,
 2023-Apr-04 19:00,A,m, 265.483839,    11.279792,   16.8061, 186.0555,   1.1566,
 2023-Apr-04 20:00,C,m, 273.749569,    -0.767287,   16.3377, 186.3304,   1.1288,
 2023-Apr-04 21:00,*, , 282.176341,   -12.663447,   15.8284, 186.6274,   1.1114,
 2023-Apr-04 22:00,*, , 291.525696,   -24.139583,   15.2807, 186.9453,   1.1040,
 2023-Apr-04 23:00,*, , 302.757427,   -34.813510,   14.6997, 187.2815,   1.1058,
 2023-Apr-05 00:00,*, , 317.164299,   -44.048243,   14.0923, 187.6325,   1.1149,
 2023-Apr-05 01:00,*, , 336.079459,   -50.772475,   13.4672, 187.9940,   1.1295,
 2023-Apr-05 02:00,*, , 359.209292,   -53.554130,   12.8337, 188.3609,   1.1471,
 2023-Apr-05 03:00,*, ,  22.750732,   -51.532742,   12.2016, 188.7280,   1.1650,
 2023-Apr-05 04:00,*, ,  42.482590,   -45.373743,   11.5806, 189.0901,   1.1807,
 2023-Apr-05 05:00,*, ,  57.626448,   -36.517064,   10.9792, 189.4422,   1.1917,
 2023-Apr-05 06:00,*, ,  69.426422,   -26.119711,   10.4050, 189.7800,   1.1958,
 2023-Apr-05 07:00,*, ,  79.236000,   -14.886679,    9.8634, 190.0997,   1.1913,
 2023-Apr-05 08:00,*, ,  88.080990,    -3.246039,    9.3582, 190.3989,   1.1769,
 2023-Apr-05 09:00,*,m,  96.767811,     8.495624,    8.8908, 190.6764,   1.1520,
 2023-Apr-05 10:00,N,m, 106.066279,    20.046335,    8.4605, 190.9321,   1.1168,
 2023-Apr-05 11:00, ,m, 116.895098,    31.030066,    8.0643, 191.1675,   1.0722,
 2023-Apr-05 12:00, ,m, 130.489817,    40.851608,    7.6974, 191.3857,   1.0196,
 2023-Apr-05 13:00, ,m, 148.303673,    48.505412,    7.3530, 191.5907,   0.9612,
 2023-Apr-05 14:00, ,m, 170.753727,    52.517442,    7.0228, 191.7875,   0.8997,
 2023-Apr-05 15:00, ,m, 194.857231,    51.667179,    6.6973, 191.9818,   0.8378,
 2023-Apr-05 16:00, ,m, 215.849195,    46.232323,    6.3668, 192.1796,   0.7783,
 2023-Apr-05 17:00, ,m, 232.024543,    37.654274,    6.0212, 192.3865,   0.7241,
 2023-Apr-05 18:00, ,m, 244.391061,    27.268354,    5.6520, 192.6075,   0.6773,
 2023-Apr-05 19:00,A,m, 254.373883,    15.912308,    5.2520, 192.8465,   0.6395,
 2023-Apr-05 20:00,C,m, 263.072992,     4.075217,    4.8166, 193.1064,   0.6119,
 2023-Apr-05 21:00,*, , 271.312101,    -7.930070,    4.3446, 193.3885,   0.5946,
 2023-Apr-05 22:00,*, , 279.823446,   -19.854354,    3.8382, 193.6929,   0.5873,
 2023-Apr-05 23:00,*, , 289.451055,   -31.424060,    3.3045, 194.0181,   0.5887,
 2023-Apr-06 00:00,*, , 301.407226,   -42.228238,    2.7564, 194.3615,   0.5971,
 2023-Apr-06 01:00,*, , 317.552756,   -51.514692,    2.2175, 194.7194,   0.6103,
 2023-Apr-06 02:00,*, , 339.971246,   -57.879504,    1.7314, 195.0873,   0.6260,
 2023-Apr-06 03:00,*, ,   7.555870,   -59.421799,    1.3844, 195.4602,   0.6415,
 2023-Apr-06 04:00,*, ,  33.371935,   -55.501607,    1.3026, 195.8327,   0.6542,
 2023-Apr-06 05:00,*, ,  52.803246,   -47.641460,    1.5186, 196.1996,   0.6617,
 2023-Apr-06 06:00,*, ,  66.871853,   -37.636244,    1.9134, 196.5559,   0.6618,
 2023-Apr-06 07:00,*, ,  77.747820,   -26.565501,    2.3743, 196.8971,   0.6531,
 2023-Apr-06 08:00,*, ,  86.981418,   -15.004732,    2.8438, 197.2198,   0.6343,
 2023-Apr-06 09:00,*, ,  95.593189,    -3.303973,    3.2952, 197.5214,   0.6050,
 2023-Apr-06 10:00,N,m, 104.361355,     8.255440,    3.7163, 197.8008,   0.5656,
 2023-Apr-06 11:00, ,m, 114.033057,    19.362000,    4.1032, 198.0582,   0.5169,
 2023-Apr-06 12:00, ,m, 125.469996,    29.579621,    4.4572, 198.2952,   0.4608,
 2023-Apr-06 13:00, ,m, 139.675470,    38.231402,    4.7836, 198.5151,   0.3993,
 2023-Apr-06 14:00, ,m, 157.414100,    44.306324,    5.0904, 198.7220,   0.3352,
 2023-Apr-06 15:00, ,m, 178.052847,    46.635770,    5.3878, 198.9213,   0.2714,
 2023-Apr-06 16:00, ,m, 198.800919,    44.611404,    5.6866, 199.1187,   0.2107,
 2023-Apr-06 17:00, ,m, 216.747212,    38.754783,    5.9980, 199.3203,   0.1557,
 2023-Apr-06 18:00, ,m, 231.087623,    30.215677,    6.3322, 199.5318,   0.1087,
 2023-Apr-06 19:00,A,m, 242.519082,    20.022415,    6.6982, 199.7581,   0.0713,
 2023-Apr-06 20:00,C,m, 252.031541,     8.865810,    7.1031, 200.0033,   0.0443,
 2023-Apr-06 21:00,*, , 260.472899,    -2.819094,    7.5516, 200.2699,   0.0278,
 2023-Apr-06 22:00,*, , 268.554777,   -14.739871,    8.0459, 200.5594,   0.0212,
 2023-Apr-06 23:00,*, , 276.989688,   -26.659264,    8.5855, 200.8714,   0.0233,
 2023-Apr-07 00:00,*, , 286.708994,   -38.312946,    9.1673, 201.2045,   0.0320,
 2023-Apr-07 01:00,*, , 299.249976,   -49.280086,    9.7855, 201.5558,   0.0453,
 2023-Apr-07 02:00,*, , 317.390418,   -58.692106,   10.4325, 201.9214,   0.0603,
 2023-Apr-07 03:00,*, , 344.686046,   -64.667015,   11.0990, 202.2967,   0.0746,
 2023-Apr-07 04:00,*, ,  17.992208,   -64.627916,   11.7743, 202.6765,   0.0854,
 2023-Apr-07 05:00,*, ,  45.152858,   -58.623464,   12.4475, 203.0553,   0.0904,
 2023-Apr-07 06:00,*, ,  63.237644,   -49.261361,   13.1077, 203.4277,   0.0875,
 2023-Apr-07 07:00,*, ,  75.827262,   -38.412854,   13.7448, 203.7886,   0.0751,
 2023-Apr-07 08:00,*, ,  85.678647,   -26.945192,   14.3500, 204.1337,   0.0523,
 2023-Apr-07 09:00,*, ,  94.320396,   -15.289075,   14.9163, 204.4592,   0.0188,
 2023-Apr-07 10:00,N, , 102.682769,    -3.728074,   15.4393, 204.7629,  -0.0249,
 2023-Apr-07 11:00, ,m, 111.472629,     7.471371,   15.9171, 205.0436,  -0.0778,
 2023-Apr-07 12:00, ,m, 121.367596,    17.977773,   16.3507, 205.3019,  -0.1380,
 2023-Apr-07 13:00, ,m, 133.098597,    27.315724,   16.7442, 205.5395,  -0.2031,
 2023-Apr-07 14:00, ,m, 147.357941,    34.790188,   17.1043, 205.7600,  -0.2703,
 2023-Apr-07 15:00, ,m, 164.341377,    39.495118,   17.4399, 205.9678,  -0.3366,
 2023-Apr-07 16:00, ,m, 183.001385,    40.591859,   17.7618, 206.1684,  -0.3991,
 2023-Apr-07 17:00, ,m, 201.127427,    37.841922,   18.0815, 206.3680,  -0.4552,
 2023-Apr-07 18:00, ,m, 216.888212,    31.802655,   18.4110, 206.5727,  -0.5026,
 2023-Apr-07 19:00,A,m, 229.845571,    23.395820,   18.7613, 206.7882,  -0.5397,
 2023-Apr-07 20:00,C,m, 240.484345,    13.444081,   19.1422, 207.0197,  -0.5658,
 2023-Apr-07 21:00,*,m, 249.522116,     2.531492,   19.5614, 207.2709,  -0.5810,
 2023-Apr-07 22:00,*, , 257.629864,    -8.953079,   20.0242, 207.5446,  -0.5860,
 2023-Apr-07 23:00,*, , 265.424920,   -20.740003,   20.5330, 207.8418,  -0.5822,
 2023-Apr-08 00:00,*, , 273.587393,   -32.611312,   21.0873, 208.1622,  -0.5719,
 2023-Apr-08 01:00,*, , 283.107870,   -44.327697,   21.6839, 208.5038,  -0.5574,
 2023-Apr-08 02:00,*, , 295.866592,   -55.492152,   22.3171, 208.8637,  -0.5416,
 2023-Apr-08 03:00,*, , 316.014179,   -65.159692,   22.9789, 209.2378,  -0.5272,
 2023-Apr-08 04:00,*, , 350.149493,   -70.791979,   23.6596, 209.6211,  -0.5169,
 2023-Apr-08 05:00,*, ,  30.313135,   -68.853260,   24.3486, 210.0082,  -0.5132,
 2023-Apr-08 06:00,*, ,  57.062790,   -60.857627,   25.0347, 210.3935,  -0.5182,
 2023-Apr-08 07:00,*, ,  72.958236,   -50.385675,   25.7068, 210.7713,  -0.5334,
 2023-Apr-08 08:00,*, ,  83.921075,   -39.041865,   26.3546, 211.1365,  -0.5595,
 2023-Apr-08 09:00,*, ,  92.766881,   -27.434891,   26.9692, 211.4847,  -0.5969,
 2023-Apr-08 10:00,N, , 100.837416,   -15.872976,   27.5438, 211.8122,  -0.6449,
 2023-Apr-08 11:00, , , 108.925516,    -4.592266,   28.0737, 212.1169,  -0.7021,
 2023-Apr-08 12:00, ,m, 117.641674,     6.149267,   28.5572, 212.3978,  -0.7666,
 2023-Apr-08 13:00, ,m, 127.564768,    16.009027,   28.9955, 212.6556,  -0.8358,
 2023-Apr-08 14:00, ,m, 139.266070,    24.502443,   29.3929, 212.8926,  -0.9067,
 2023-Apr-08 15:00, ,m, 153.158517,    30.970095,   29.7564, 213.1125,  -0.9762,
 2023-Apr-08 16:00, ,m, 169.099915,    34.650804,   30.0954, 213.3201,  -1.0412,
 2023-Apr-08 17:00, ,m, 186.003327,    34.959075,   30.4210, 213.5214,  -1.0988,
 2023-Apr-08 18:00, ,m, 202.179914,    31.840075,   30.7453, 213.7227,  -1.1469,
 2023-Apr-08 19:00,A,m, 216.380179,    25.808601,   31.0807, 213.9302,  -1.1839,
 2023-Apr-08 20:00,C,m, 228.307422,    17.619849,   31.4387, 214.1499,  -1.2090,
 2023-Apr-08 21:00,*,m, 238.299175,     7.957871,   31.8292, 214.3867,  -1.2224,
 2023-Apr-08 22:00,*, , 246.893448,    -2.669139,   32.2601, 214.6447,  -1.2251,
 2023-Apr-08 23:00,*, , 254.630950,   -13.908535,   32.7365, 214.9260,  -1.2187,
