API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Sun May 14 05:40:44 2023 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Moon (301)                      {source: DE441}
Center body name: Earth (399)                     {source: DE441}
Center-site name: (user defined site below)
*******************************************************************************
Start time      : A.D. 2022-Dec-31 00:00:00.0000 UT      
Stop  time      : A.D. 2023-Dec-31 00:00:00.0000 UT      
Step-size       : 60 minutes
*******************************************************************************
Target pole/equ : MOON_ME                         {East-longitude positive}
Target radii    : 1737.4, 1737.4, 1737.4 km       {Equator_a, b, pole_c}       
Center geodetic : 139.484444,35.300556,1.22238E-12 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 139.484444,5211.22956,3665.13099 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : ITRF93                          {East-longitude positive}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}       
Target primary  : Earth
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE441}
Rel. light bend : Sun                             {source: DE441}
Rel. lght bnd GM: 1.3271E+11 km^3/s^2                                          
Atmos refraction: NO (AIRLESS)
RA format       : HMS
Time format     : CAL 
Calendar mode   : Mixed Julian/Gregorian
EOP file        : eop.230511.p230804                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2023-MAY-11. PREDICTS-> 2023-AUG-03
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
Table format    : Comma Separated Values (spreadsheet)
********************************************************************************
 Date__(UT)__HR:MN, , ,Azi_(a-app), Elev_(a-app),       phi,  PAB-LON,  PAB-LAT,
********************************************************************************
$$SOE
 2023-Jan-01 20:00, , , 315.857046,   -26.280248,   57.5234,  71.9250,  -0.1611,
 2023-Jan-01 21:00,N, , 329.646769,   -33.251127,   56.9010,  72.2794,  -0.1781,
 2023-Jan-01 22:00,*, , 345.763950,   -37.543032,   56.2556,  72.6453,  -0.1920,
 2023-Jan-01 23:00,*, ,   3.235987,   -38.480150,   55.5976,  73.0175,  -0.1999,
 2023-Jan-02 00:00,*, ,  20.230774,   -35.887086,   54.9379,  73.3905,  -0.1998,
 2023-Jan-02 01:00,*, ,  35.221702,   -30.220394,   54.2878,  73.7586,  -0.1897,
 2023-Jan-02 02:00,*, ,  47.761182,   -22.246610,   53.6580,  74.1166,  -0.1687,
 2023-Jan-02 03:00,*, ,  58.185656,   -12.679139,   53.0581,  74.4595,  -0.1364,
 2023-Jan-02 04:00,*, ,  67.085961,    -2.046379,   52.4961,  74.7835,  -0.0932,
 2023-Jan-02 05:00,*,m,  75.053875,     9.287778,   51.9780,  75.0856,  -0.0401,
 2023-Jan-02 06:00,*,m,  82.655356,    21.065192,   51.5068,  75.3644,   0.0210,
 2023-Jan-02 07:00,*,m,  90.528223,    33.076046,   51.0829,  75.6197,   0.0877,
 2023-Jan-02 08:00,C,m,  99.626571,    45.094718,   50.7034,  75.8529,   0.1572,
 2023-Jan-02 09:00,A,m, 111.868491,    56.754622,   50.3625,  76.0671,   0.2265,
 2023-Jan-02 10:00, ,m, 132.060390,    67.140073,   50.0515,  76.2665,   0.2923,
 2023-Jan-02 11:00, ,m, 170.061150,    73.347199,   49.7597,  76.4563,   0.3519,
 2023-Jan-02 12:00, ,m, 215.586543,    70.708291,   49.4752,  76.6426,   0.4026,
 2023-Jan-02 13:00, ,m, 242.360492,    61.646199,   49.1852,  76.8315,   0.4428,
 2023-Jan-02 14:00, ,m, 257.257062,    50.461443,   48.8776,  77.0291,   0.4711,
 2023-Jan-02 15:00, ,m, 267.480819,    38.677275,   48.5415,  77.2407,   0.4875,
 2023-Jan-02 16:00, ,m, 275.852069,    26.822469,   48.1683,  77.4707,   0.4926,
 2023-Jan-02 17:00, ,m, 283.624067,    15.170880,   47.7518,  77.7221,   0.4877,
 2023-Jan-02 18:00, ,m, 291.524428,     3.942922,   47.2889,  77.9967,   0.4750,
 2023-Jan-02 19:00, , , 300.113422,    -6.615279,   46.7793,  78.2945,   0.4570,
 2023-Jan-02 20:00, , , 309.916550,   -16.178317,   46.2260,  78.6142,   0.4367,
 2023-Jan-02 21:00,N, , 321.431045,   -24.294449,   45.6344,  78.9529,   0.4170,
 2023-Jan-02 22:00,*, , 334.972585,   -30.366527,   45.0123,  79.3071,   0.4008,
 2023-Jan-02 23:00,*, , 350.330718,   -33.731104,   44.3694,  79.6717,   0.3907,
 2023-Jan-03 00:00,*, ,   6.486765,   -33.901849,   43.7163,  80.0416,   0.3889,
 2023-Jan-03 01:00,*, ,  21.954122,   -30.852225,   43.0645,  80.4111,   0.3969,
 2023-Jan-03 02:00,*, ,  35.634602,   -25.033282,   42.4253,  80.7744,   0.4158,
 2023-Jan-03 03:00,*, ,  47.236510,   -17.103790,   41.8095,  81.1263,   0.4458,
 2023-Jan-03 04:00,*, ,  57.029158,    -7.671811,   41.2266,  81.4621,   0.4864,
 2023-Jan-03 05:00,*,m,  65.482490,     2.800096,   40.6843,  81.7779,   0.5365,
 2023-Jan-03 06:00,*,m,  73.088190,    13.983202,   40.1878,  82.0711,   0.5943,
 2023-Jan-03 07:00,*,m,  80.340985,    25.639909,   39.7395,  82.3406,   0.6573,
 2023-Jan-03 08:00,C,m,  87.831027,    37.578809,   39.3388,  82.5867,   0.7228,
 2023-Jan-03 09:00,A,m,  96.509434,    49.601255,   38.9819,  82.8111,   0.7878,
 2023-Jan-03 10:00, ,m, 108.525641,    61.384831,   38.6618,  83.0172,   0.8492,
 2023-Jan-03 11:00, ,m, 130.521694,    72.005592,   38.3691,  83.2095,   0.9042,
 2023-Jan-03 12:00, ,m, 179.861891,    77.539199,   38.0922,  83.3936,   0.9503,
 2023-Jan-03 13:00, ,m, 229.935716,    72.247757,   37.8187,  83.5757,   0.9859,
 2023-Jan-03 14:00, ,m, 252.369901,    61.731480,   37.5357,  83.7621,   1.0098,
 2023-Jan-03 15:00, ,m, 264.559391,    50.045496,   37.2311,  83.9587,   1.0218,
 2023-Jan-03 16:00, ,m, 273.346481,    38.147656,   36.8946,  84.1707,   1.0227,
 2023-Jan-03 17:00, ,m, 280.931769,    26.371493,   36.5179,  84.4023,   1.0138,
 2023-Jan-03 18:00, ,m, 288.278980,    14.923856,   36.0959,  84.6562,   0.9973,
 2023-Jan-03 19:00, ,m, 295.974763,     4.004616,   35.6263,  84.9336,   0.9758,
 2023-Jan-03 20:00, , , 304.493932,    -6.140592,   35.1100,  85.2344,   0.9522,
 2023-Jan-03 21:00,N, , 314.282222,   -15.179868,   34.5507,  85.5567,   0.9294,
 2023-Jan-03 22:00,*, , 325.725759,   -22.663145,   33.9550,  85.8976,   0.9103,
 2023-Jan-03 23:00,*, , 338.982281,   -28.027833,   33.3313,  86.2527,   0.8974,
 2023-Jan-04 00:00,*, , 353.698035,   -30.701761,   32.6899,  86.6171,   0.8929,
 2023-Jan-04 01:00,*, ,   8.879569,   -30.326276,   32.0420,  86.9853,   0.8983,
 2023-Jan-04 02:00,*, ,  23.279180,   -26.957019,   31.3995,  87.3515,   0.9145,
 2023-Jan-04 03:00,*, ,  36.045008,   -21.029939,   30.7737,  87.7100,   0.9417,
 2023-Jan-04 04:00,*, ,  46.969186,   -13.132061,   30.1754,  88.0556,   0.9795,
 2023-Jan-04 05:00,*, ,  56.280429,    -3.802310,   29.6135,  88.3838,   1.0265,
 2023-Jan-04 06:00,*,m,  64.373682,     6.542124,   29.0951,  88.6910,   1.0810,
 2023-Jan-04 07:00,*,m,  71.673148,    17.598398,   28.6244,  88.9751,   1.1407,
 2023-Jan-04 08:00,C,m,  78.619170,    29.144822,   28.2029,  89.2351,   1.2026,
 2023-Jan-04 09:00,A,m,  85.756329,    41.004381,   27.8284,  89.4719,   1.2639,
 2023-Jan-04 10:00, ,m,  94.010559,    53.000159,   27.4960,  89.6877,   1.3216,
 2023-Jan-04 11:00, ,m, 105.686286,    64.850749,   27.1973,  89.8862,   1.3728,
 2023-Jan-04 12:00, ,m, 129.474969,    75.641477,   26.9220,  90.0725,   1.4152,
 2023-Jan-04 13:00, ,m, 192.971502,    80.106489,   26.6578,  90.2522,   1.4469,
 2023-Jan-04 14:00, ,m, 241.618567,    72.423339,   26.3918,  90.4318,   1.4671,
 2023-Jan-04 15:00, ,m, 259.552531,    61.116433,   26.1113,  90.6174,   1.4754,
 2023-Jan-04 16:00, ,m, 269.707852,    49.232490,   25.8046,  90.8150,   1.4726,
 2023-Jan-04 17:00, ,m, 277.489673,    37.345705,   25.4621,  91.0295,   1.4601,
 2023-Jan-04 18:00, ,m, 284.539366,    25.685487,   25.0768,  91.2647,   1.4400,
 2023-Jan-04 19:00, ,m, 291.603507,    14.426564,   24.6446,  91.5230,   1.4149,
 2023-Jan-04 20:00, ,m, 299.168668,     3.761359,   24.1646,  91.8052,   1.3877,
 2023-Jan-04 21:00,N, , 307.649504,    -6.061537,   23.6388,  92.1104,   1.3614,
 2023-Jan-04 22:00,*, , 317.435314,   -14.704717,   23.0723,  92.4366,   1.3389,
 2023-Jan-04 23:00,*, , 328.835767,   -21.720378,   22.4727,  92.7802,   1.3227,
 2023-Jan-05 00:00,*, , 341.907109,   -26.571848,   21.8493,  93.1368,   1.3150,
 2023-Jan-05 01:00,*, , 356.213838,   -28.748587,   21.2133,  93.5011,   1.3172,
 2023-Jan-05 02:00,*, ,  10.787297,   -27.971840,   20.5762,  93.8674,   1.3302,
 2023-Jan-05 03:00,*, ,  24.521012,   -24.346548,   19.9502,  94.2300,   1.3543,
 2023-Jan-05 04:00,*, ,  36.703921,   -18.301101,   19.3466,  94.5832,   1.3889,
 2023-Jan-05 05:00,*, ,  47.181542,   -10.381536,   18.7757,  94.9220,   1.4327,
 2023-Jan-05 06:00,*, ,  56.166723,    -1.085080,   18.2456,  95.2420,   1.4840,
 2023-Jan-05 07:00,*,m,  64.015618,     9.200306,   17.7623,  95.5402,   1.5403,
 2023-Jan-05 08:00,C,m,  71.115151,    20.189487,   17.3285,  95.8148,   1.5989,
 2023-Jan-05 09:00,A,m,  77.875721,    31.671652,   16.9439,  96.0654,   1.6568,
 2023-Jan-05 10:00, ,m,  84.820631,    43.478332,   16.6044,  96.2933,   1.7111,
 2023-Jan-05 11:00, ,m,  92.881521,    55.443126,   16.3033,  96.5012,   1.7591,
 2023-Jan-05 12:00, ,m, 104.564579,    67.299933,   16.0307,  96.6933,   1.7982,
 2023-Jan-05 13:00, ,m, 130.941702,    78.069256,   15.7750,  96.8748,   1.8267,
 2023-Jan-05 14:00, ,m, 206.801512,    80.899426,   15.5235,  97.0518,   1.8436,
 2023-Jan-05 15:00, ,m, 248.842845,    71.625040,   15.2633,  97.2306,   1.8487,
 2023-Jan-05 16:00, ,m, 263.675021,    59.979691,   14.9825,  97.4175,   1.8425,
 2023-Jan-05 17:00, ,m, 272.644880,    48.035298,   14.6705,  97.6181,   1.8265,
